Freq. Range[8,1.299000e+01];;;;;;;
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_BL01.set;30;4.036.413;-0.003437;3.063.727;1.434.610;-0.577726;2.417.521
001_BL02.set;30;5.243.655;0.687575;3.525.258;-0.655625;-0.514599;1.451.113
001_BL03.set;30;-1.211.220;-4.613.875;-2.461.874;-2.220.497;-5.564.255;-0.898329
001_BL04.set;30;0.550220;-2.816.544;0.253320;0.216728;-4.090.033;0.227102
001_IBOE.set;30;3.018.419;-0.333508;4.409.087;2.665.469;-2.244.938;-0.573460
002_BL01.set;30;0.766841;-5.976.497;-1.194.034;-2.197.522;-5.830.906;-1.552.598
002_BL02.set;30;1.246.315;-5.257.524;-0.434258;-1.227.527;-5.774.038;-1.765.238
002_BL03.set;30;2.960.320;-4.265.383;-0.626893;-0.264094;-6.205.403;-2.628.093
002_BL04.set;30;2.052.029;-5.374.933;1.348.746;-0.789046;-5.121.628;-0.572152
002_IBOE.set;30;3.274.869;-3.923.173;2.401.541;1.555.952;-3.388.311;1.349.509
003_BL01.set;30;-2.620.926;-5.113.598;-0.589933;-0.395926;-3.909.526;-0.445930
003_BL02.set;30;-0.318620;-4.036.355;0.616439;0.304902;-3.321.021;-0.638495
003_BL03.set;30;-0.481181;-4.454.106;-0.017631;0.123785;-3.310.383;0.001677
003_BL04.set;30;-0.639274;-4.623.549;-0.013815;0.242904;-3.114.479;0.609829
003_IBOE.set;30;0.881929;-1.994.759;1.201.100;2.325.216;-1.056.003;0.942327
004_BL01.set;30;-5.550.425;-6.844.822;-3.289.192;-3.715.204;-5.464.919;-0.871840
004_BL02.set;30;-3.412.274;-6.296.857;-3.233.878;-3.349.366;-5.487.998;-0.623421
004_BL03.set;30;-5.668.337;-7.275.142;-4.495.978;-3.267.768;-6.287.392;-2.905.269
004_BL04.set;30;-1.626.031;-5.673.625;-2.729.086;-4.118.105;-4.271.028;0.507818
004_IBOE.set;18;-15.794.434;-20.351.253;-18.058.800;-17.828.511;-18.236.967;-16.581.501
005_BL01.set;30;-8.142.215;-11.742.743;-6.067.447;-6.307.540;-10.026.165;-6.649.327
005_BL02.set;30;-6.956.901;-10.825.329;-4.708.649;-6.082.844;-9.330.421;-5.412.069
005_BL03.set;30;-7.917.619;-12.526.480;-8.820.189;-6.796.803;-11.639.189;-11.074.408
005_BL04.set;30;-7.615.256;-12.704.763;-8.903.412;-6.771.651;-11.045.944;-10.294.662
005_IBOE.set;30;-6.587.378;-12.139.742;-7.685.835;-5.663.782;-10.864.320;-10.041.114
006_BL01.set;30;-3.089.236;-7.107.197;-2.723.573;-4.026.300;-5.508.168;-0.424585
006_BL02.set;30;-4.582.566;-8.204.630;-3.253.795;-3.836.112;-5.374.289;-0.520256
006_BL03.set;30;-4.036.206;-7.625.062;-4.454.715;-4.174.199;-6.427.067;-1.797.907
006_BL04.set;30;-3.640.449;-7.822.323;-2.326.682;-3.395.922;-5.591.750;-1.140.277
006_IBOE.set;30;-2.771.125;-6.849.782;-2.508.457;-2.572.126;-5.030.650;-1.213.948
007_BL01.set;30;-2.627.510;-5.662.019;-3.361.549;-2.767.745;-4.996.228;-0.265917
007_BL02.set;30;-2.974.964;-5.270.667;-2.402.128;-1.794.994;-4.645.688;-0.469048
007_BL03.set;30;-1.343.817;-4.370.983;0.180126;-0.868581;-5.216.227;-3.238.520
007_BL04.set;30;-2.429.128;-5.367.441;-2.501.070;-2.695.010;-5.726.571;-3.939.448
007_IBOE.set;30;-1.284.561;-3.957.555;-1.201.026;-0.579700;-3.201.437;0.393692